Observation Number,Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
1047,08 01 2018 09:50,133.5527954,3.715156078,79.80085182,177.8092041
1048,08 01 2018 10:00,8.48479557,2.791785955,0,176.252594
1049,08 01 2018 10:10,77.44355011,3.674292088,73.95093235,184.071701
1050,08 01 2018 10:20,112.1079025,3.95833993,120.1401114,178.4891052
1051,08 01 2018 10:30,26.92427063,2.927467108,0,185.0424042
1052,08 01 2018 10:40,86.62489319,3.946842909,118.0198926,198.2447968
1053,08 01 2018 10:50,162.0511017,4.363177776,193.5870157,188.3773956
1054,08 01 2018 11:00,12.82001019,2.89745903,0,198.2969971
1055,08 01 2018 11:10,17.84958076,2.732266903,0,209.0112
1056,08 01 2018 11:20,30.36087036,3.254823923,29.34918408,204.0836945
1057,08 01 2018 11:30,14.21788025,2.822695971,0,195.3233032
1058,08 01 2018 11:40,193.0794983,4.30862093,182.552627,195.1956024
1059,08 01 2018 11:50,92.28330231,3.491285086,51.03000557,210.6403961
1060,08 01 2018 12:00,130.7256927,4.136732101,148.8114413,218.1190033
1061,08 01 2018 12:10,127.6705017,4.059885979,134.1988349,217.6712036
1062,08 01 2018 12:20,89.93031311,3.790518045,91.29007987,202.4143066
1063,08 01 2018 12:30,66.07553864,3.733128071,82.45823973,187.8348999
1064,08 01 2018 12:40,19.80158997,3.023945093,16.81211238,189.2415924
1065,08 01 2018 12:50,39.00555038,3.446001053,46.18538882,184.6981049
1066,08 01 2018 13:00,2.426461935,2.689878941,0,201.684906
1067,08 01 2018 13:10,98.45671844,3.870109081,104.4106757,192.1271973
1068,08 01 2018 13:20,15.6660099,2.735780954,0,187.3040009
1069,08 01 2018 13:30,0,2.236932993,0,199.2996063
1070,08 01 2018 13:40,0,2.118818998,0,199.8484955
1071,08 01 2018 13:50,0,1.673400044,0,221.8755951
1072,08 01 2018 14:00,0,2.418706894,0,229.6304932
1073,08 01 2018 14:10,1.771667957,2.904170036,0,218.6188965
1074,08 01 2018 14:20,0,2.145584106,0,206.2749023
1075,08 01 2018 14:30,0,2.201905012,0,213.9199066
1076,08 01 2018 14:40,0,3.066056013,18.46286417,229.6331024
1077,08 01 2018 14:50,0,3.325711966,34.90984566,231.9868011
1078,08 01 2018 15:00,0,3.619611025,66.54097857,241.0858002
1079,08 01 2018 15:10,0,2.971257925,0,242.982605
1080,08 01 2018 15:20,0,2.954154015,0,242.1898041
1081,08 01 2018 15:30,0,3.221544027,27.01594936,221.537796
1082,08 01 2018 15:40,0,3.012871027,16.42512593,215.6768036
1083,08 01 2018 15:50,0,3.734921932,82.72632155,220.328598
1084,08 01 2018 16:00,0,4.216407776,164.2639327,220.9300995
1085,08 01 2018 16:10,0,4.711212158,268.0947648,216.9752045
1086,08 01 2018 16:20,0,4.469265938,215.5225209,225.3256073
1087,08 01 2018 16:30,0,4.823653221,293.8295573,235.0917969
1088,08 01 2018 16:40,0,4.231332779,167.1939871,225.2348938
1089,08 01 2018 16:50,277.5324097,5.12796402,368.0695423,216.6808929
1090,08 01 2018 17:00,498.3258057,5.879827976,585.1930068,217.4197998
1091,08 01 2018 17:10,497.7956848,5.929944038,601.6082568,215.616394
1092,08 01 2018 17:20,642.5411987,6.427526951,777.9325092,211.1470032
1093,08 01 2018 17:30,791.8890991,6.879769802,962.7711965,209.3860016
1094,08 01 2018 17:40,923.550415,7.121829987,1071.788404,207.3661957
1095,08 01 2018 17:50,745.8217773,6.659317017,869.7331263,208.6665955
1096,08 01 2018 18:00,669.5847778,6.35085392,748.8751801,208.4481049
1097,08 01 2018 18:10,470.0203857,5.62842989,506.7150969,210.7872009
1098,08 01 2018 18:20,294.4465027,4.929840088,318.9488526,211.1425018
1099,08 01 2018 18:30,354.183197,5.178981781,381.2173979,217.8014984
1100,08 01 2018 18:40,500.3696899,5.78035593,553.3824729,218.2480011
1101,08 01 2018 18:50,590.555481,6.148515224,675.2459569,218.5653076
1102,08 01 2018 19:00,629.8114014,6.305305004,731.9157626,219.5202026
1103,08 01 2018 19:10,757.2838135,6.660715103,870.3052413,219.8618011
1104,08 01 2018 19:20,602.4882813,6.314433098,735.2964743,220.5536041
1105,08 01 2018 19:30,533.9011841,6.233302116,705.5634331,224.5644989
1106,08 01 2018 19:40,748.9569092,6.829358101,940.9864341,218.1961975
1107,08 01 2018 19:50,750.7763062,6.819999218,936.9758711,215.1024933
1108,08 01 2018 20:00,626.7866211,6.461894989,791.1660824,218.5552063
1109,08 01 2018 20:10,637.1281128,6.375611782,758.1877821,219.3363037
1110,08 01 2018 20:20,608.6168823,6.362308979,753.1756862,215.6427002
1111,08 01 2018 20:30,786.0579224,6.759739876,911.4031135,217.3748016
1112,08 01 2018 20:40,1149.30896,7.762672901,1397.160375,215.5307007
1113,08 01 2018 20:50,1129.14502,7.606812,1313.521041,216.0639038
1114,08 01 2018 21:00,1030.680054,7.296388149,1155.19657,217.3983002
1115,08 01 2018 21:10,1081.785034,7.305881023,1159.853983,222.517395
1116,08 01 2018 21:20,1120.730957,7.368675232,1190.988493,215.860199
1117,08 01 2018 21:30,980.2758789,7.121951103,1071.844842,213.0664978
1118,08 01 2018 21:40,1001.133972,7.10496521,1063.94864,218.3159943
1119,08 01 2018 21:50,1106.286011,7.358417034,1185.863219,221.9107971
1120,08 01 2018 22:00,1000.242981,7.010375023,1020.666097,230.5102997
1121,08 01 2018 22:10,1003.401001,7.051381111,1039.28734,234.9367981
1122,08 01 2018 22:20,898.2753296,6.785508156,922.2858321,240.5984955
1123,08 01 2018 22:30,770.7371826,6.544709206,823.5906813,244.1383972
1124,08 01 2018 22:40,557.7012939,6.003430843,625.1509756,246.4960022
1125,08 01 2018 22:50,473.4700012,5.901651859,592.3089111,242.158493
1126,08 01 2018 23:00,428.9768982,5.646711826,512.2111576,240.0821075
1127,08 01 2018 23:10,363.7952881,5.309488773,415.8286671,244.591095
1128,08 01 2018 23:20,356.7980957,5.368955135,432.0804768,247.1130066
1129,08 01 2018 23:30,349.7767944,5.345266819,425.5697641,244.3128052
1130,08 01 2018 23:40,361.3447876,5.433129787,449.9675984,247.1965027
1131,08 01 2018 23:50,347.2059937,5.379458904,434.9831711,246.8430939
1132,09 01 2018 00:00,248.9463043,4.917778015,316.0543261,241.6822052
1133,09 01 2018 00:10,281.9343872,5.039463997,345.7541044,245.5968018
1134,09 01 2018 00:20,314.6347961,5.169603825,378.7847605,247.3871002
1135,09 01 2018 00:30,368.4970093,5.490445137,466.2554686,251.276001
1136,09 01 2018 00:40,325.6263123,5.23074007,394.7734969,252.1670074
1137,09 01 2018 00:50,232.6753998,4.785101891,284.9082596,249.2490997
1138,09 01 2018 01:00,269.1629944,4.981732845,331.5246145,244.4794006
1139,09 01 2018 01:10,386.1742859,5.473279953,461.3461442,246.6542969
1140,09 01 2018 01:20,405.5794067,5.571075916,489.6804558,245.8370056
1141,09 01 2018 01:30,445.0248108,5.696821213,527.4417133,252.9866028
1142,09 01 2018 01:40,458.1116943,5.657978058,515.614184,255.7552948
1143,09 01 2018 01:50,460.8215027,5.676557064,521.2530044,263.7886047
1144,09 01 2018 02:00,487.211792,5.796945095,558.6173145,263.5401917
1145,09 01 2018 02:10,510.5628967,5.928707123,601.1999311,266.4515076
1146,09 01 2018 02:20,489.9814148,5.894340038,589.9192691,267.3027954
1147,09 01 2018 02:30,425.5150146,5.608187199,500.6670469,265.3855896
1148,09 01 2018 02:40,356.3117065,5.392457962,438.5889021,268.8210144
1149,09 01 2018 02:50,369.5346985,5.326724052,420.5074067,267.6254883
1150,09 01 2018 03:00,365.8602905,5.327391148,420.6890135,271.9703064
1151,09 01 2018 03:10,206.9544983,4.631585121,250.3834206,269.8913879
1152,09 01 2018 03:20,172.0186005,4.47201395,216.0993792,267.796814
1153,09 01 2018 03:30,109.5796967,4.122563839,146.0962393,266.5588074
1154,09 01 2018 03:40,122.6483002,4.175298214,156.2516975,265.9285889
1155,09 01 2018 03:50,132.9779053,4.217702866,164.5177318,267.2065125
1156,09 01 2018 04:00,126.8231964,4.208799839,162.7747255,269.7091064
1157,09 01 2018 04:10,100.5101013,4.020815849,126.8743762,264.3344116
1158,09 01 2018 04:20,187.7584991,4.531458855,228.6883325,261.1253967
1159,09 01 2018 04:30,290.8814087,5.007687092,337.8903112,261.4195862
1160,09 01 2018 04:40,223.4608002,4.589190006,241.1206428,274.5922852
1161,09 01 2018 04:50,84.96160126,3.861534119,102.9483748,272.2204895
1162,09 01 2018 05:00,20.55237961,3.056126118,18.04804705,285.9599915
1163,09 01 2018 05:10,5.918070793,2.914252043,0,297.6195984
1164,09 01 2018 05:20,1.386602998,2.546088934,0,297.9724121
1165,09 01 2018 05:30,0,2.377084017,0,307.8435059
1166,09 01 2018 05:40,0,3.244925976,28.63672992,307.8139954
1167,09 01 2018 05:50,7.471731186,2.973398924,0,322.1921997
1168,09 01 2018 06:00,0,2.472924948,0,325.0539856
1169,09 01 2018 06:10,0,3.088496923,19.45843799,340.9537048
1170,09 01 2018 06:20,0,3.207957983,26.11437727,342.6260071
1171,09 01 2018 06:30,0,3.524256945,54.76384975,345.8174133
1172,09 01 2018 06:40,0,3.196883917,25.40134748,351.7698975
1173,09 01 2018 06:50,0,3.278629065,31.12686252,355.6712952
1174,09 01 2018 07:00,0,3.013487101,16.44613937,349.5235901
1175,09 01 2018 07:10,0,2.597444057,0,350.9614868
1176,09 01 2018 07:20,0,2.811811924,0,351.3952942
1177,09 01 2018 07:30,0,2.495686054,0,5.538174152
1178,09 01 2018 07:40,0,3.066822052,18.49552059,17.82920074
1179,09 01 2018 07:50,0,3.162409067,23.30722656,25.94327927
1180,09 01 2018 08:00,0,2.501784086,0,14.1450901
1181,09 01 2018 08:10,0,2.291039944,0,43.71139908
1182,09 01 2018 08:20,0,2.344810963,0,54.23257828
1183,09 01 2018 08:30,0,3.035115957,17.22236107,66.51316071
1184,09 01 2018 08:40,0,3.584100962,61.98514545,76.80802155
1185,09 01 2018 08:50,0,3.270412922,30.50306537,83.90677643
1186,09 01 2018 09:00,0,1.990193009,0,50.20565033
1187,09 01 2018 09:10,0,2.80162406,0,68.53430939
1188,09 01 2018 09:20,0,3.275088072,30.85669408,55.11882019
1189,09 01 2018 09:30,0,3.214826107,26.56645593,57.9102211
1190,09 01 2018 09:40,0,3.130810022,21.55482167,71.85945129
1191,09 01 2018 09:50,0,2.939748049,0,80.20345306
1192,09 01 2018 10:00,0,3.246735096,28.76577968,65.59587097
1193,09 01 2018 10:10,0,2.871908903,0,70.33496857
1194,09 01 2018 10:20,0,2.629748106,0,58.161129
1195,09 01 2018 10:30,0,3.085630894,19.3268006,63.87804031
1196,09 01 2018 10:40,0,3.20629096,26.00578755,73.58798218
1197,09 01 2018 10:50,0,3.419043064,43.45714522,81.49429321
1198,09 01 2018 11:00,30.56949043,3.473898888,49.13117686,76.31838989
1199,09 01 2018 11:10,6.349184036,3.36066699,37.94779792,77.78397369
1200,09 01 2018 11:20,1.076665998,3.748315096,84.74412169,78.5811615
1201,09 01 2018 11:30,58.0236702,4.009674072,124.7982101,69.01933289
1202,09 01 2018 11:40,2.406131029,2.933751106,0,81.16980743
1203,09 01 2018 11:50,0,2.830065012,0,81.74397278
1204,09 01 2018 12:00,0,2.956454039,0,75.30171204
1205,09 01 2018 12:10,0,3.390789986,40.72262457,49.32952118
1206,09 01 2018 12:20,0,2.111383915,0,79.45545959
1207,09 01 2018 12:30,12.09146023,3.813462019,94.96842111,83.68856812
1208,09 01 2018 12:40,142.9373016,4.217244148,164.427827,78.26979828
1209,09 01 2018 12:50,176.2416992,4.462296009,214.0614019,71.71231842
1210,09 01 2018 13:00,167.9707031,4.312468052,183.3254102,73.29966736
1211,09 01 2018 13:10,175.5373993,4.473014832,216.3095934,71.38308716
1212,09 01 2018 13:20,211.0254059,4.622023106,248.2842527,66.56902313
1213,09 01 2018 13:30,250.3184967,4.842130184,298.1423314,68.17137909
1214,09 01 2018 13:40,261.0658875,4.857725143,301.8012481,70.54255676
1215,09 01 2018 13:50,195.1080017,4.585811138,240.3872972,75.58088684
1216,09 01 2018 14:00,260.9960022,4.864133835,303.3098972,72.11638641
1217,09 01 2018 14:10,262.1498108,4.990509987,333.6716367,69.02514648
1218,09 01 2018 14:20,328.7894897,5.32218504,419.2727484,70.8657608
1219,09 01 2018 14:30,268.8442078,5.109433174,363.3457707,69.28304291
1220,09 01 2018 14:40,235.5547028,4.888106823,308.9794625,67.25906372
1221,09 01 2018 14:50,295.7919922,5.227930069,394.0318302,65.34407806
1222,09 01 2018 15:00,362.5090942,5.366281033,431.3430427,64.31523132
1223,09 01 2018 15:10,365.6787109,5.337725163,423.5072182,65.40693665
1224,09 01 2018 15:20,363.0426941,5.347967148,426.3094724,65.60115051
1225,09 01 2018 15:30,288.8091125,5.032437801,344.0086578,63.22378159
1226,09 01 2018 15:40,261.4096985,4.854186058,300.9693818,65.16265869
1227,09 01 2018 15:50,394.8363037,5.454154968,455.9079305,64.54110718
1228,09 01 2018 16:00,553.2454834,5.96337986,612.7074627,71.78125
1229,09 01 2018 16:10,789.8884277,6.613801003,851.2295311,71.31730652
1230,09 01 2018 16:20,965.0897217,7.041401863,1034.735771,68.56700134
1231,09 01 2018 16:30,1017.671021,7.076789856,1050.934606,67.96909332
1232,09 01 2018 16:40,1345.786987,7.725608826,1376.99929,72.24867249
1233,09 01 2018 16:50,1263.744995,7.742040157,1385.916736,74.05148315
1234,09 01 2018 17:00,1232.545044,7.571588039,1295.044901,74.08870697
1235,09 01 2018 17:10,787.2312012,6.5596838,829.5353606,74.56395721
1236,09 01 2018 17:20,554.7401123,5.975778103,616.8534183,73.48330688
1237,09 01 2018 17:30,626.0037842,6.004440784,625.4919134,78.2279892
1238,09 01 2018 17:40,754.9127808,6.481627941,798.8231654,74.6503067
1239,09 01 2018 17:50,828.1480713,6.450553894,786.784777,75.5656662
1240,09 01 2018 18:00,1290.385986,7.663197041,1343.429296,74.61650085
1241,09 01 2018 18:10,1324.373047,7.564552784,1291.374121,67.87236023
1242,09 01 2018 18:20,1332.625,7.575979233,1297.339388,67.04553223
1243,09 01 2018 18:30,1098.772949,7.063724995,1044.93525,67.6740036
1244,09 01 2018 18:40,1039.676025,6.912072182,976.8930161,68.73150635
1245,09 01 2018 18:50,804.2822876,6.438810825,782.2630995,69.36212158
1246,09 01 2018 19:00,805.1437988,6.530227184,817.865424,70.26083374
1247,09 01 2018 19:10,929.2927856,6.798903942,927.974368,72.82594299
1248,09 01 2018 19:20,897.9151001,6.753901958,908.9484753,71.31968689
1249,09 01 2018 19:30,943.267395,6.759132862,911.1476988,74.51544952
1250,09 01 2018 19:40,625.8814697,5.626655102,506.1832599,77.53556061
1251,09 01 2018 19:50,446.46521,4.936175823,320.4735293,82.71843719
1252,09 01 2018 20:00,652.5297852,5.969144821,614.6332116,80.01422119
1253,09 01 2018 20:10,700.5253296,5.822409153,566.7070975,79.31086731
1254,09 01 2018 20:20,786.7703247,5.817975044,565.2936512,80.20274353
1255,09 01 2018 20:30,831.6660156,5.739332199,540.5561293,80.9647522
1256,09 01 2018 20:40,837.7006836,5.963009834,612.5839793,82.48116302
1257,09 01 2018 20:50,817.4644165,5.713737965,532.6390244,85.97753143
1258,09 01 2018 21:00,879.7988892,5.828674793,568.7078055,90.05490112
1259,09 01 2018 21:10,951.2285156,6.020589828,630.9583588,86.89231873
1260,09 01 2018 21:20,843.3892212,5.566068172,488.2079194,92.99828339
1261,09 01 2018 21:30,871.3751831,5.602399826,498.9451155,89.061203
1262,09 01 2018 21:40,891.1118164,5.752931118,544.7892292,90.49577332
1263,09 01 2018 21:50,883.1251221,6.256250858,713.9018582,100.8873978
1264,09 01 2018 22:00,654.2595825,5.878662109,584.8142626,105.6659012
1265,09 01 2018 22:10,515.0449219,5.313576221,416.9359434,106.1584015
1266,09 01 2018 22:20,477.8468018,5.098633766,360.605455,104.2422028
1267,09 01 2018 22:30,504.7067871,5.402994156,441.522451,106.7173004
1268,09 01 2018 22:40,348.1600037,4.648723125,254.1604698,109.9604034
1269,09 01 2018 22:50,296.0134888,4.675095081,260.0098028,108.7419968
1270,09 01 2018 23:00,255.2416992,4.213506222,163.6956242,108.2145004
1271,09 01 2018 23:10,258.3121948,4.417449951,204.7280825,109.2955017
1272,09 01 2018 23:20,249.2194061,4.388122082,198.6869624,112.0574036
1273,09 01 2018 23:30,425.2803955,5.301136017,413.5703937,118.8687973
1274,09 01 2018 23:40,566.0112305,6.029922009,634.1300128,122.5814972
1275,09 01 2018 23:50,513.1687012,5.721092224,534.9072761,126.737999
1276,10 01 2018 00:00,472.5159912,5.59363699,496.3439589,131.1578979
1277,10 01 2018 00:10,492.1124878,5.953317165,609.354587,127.2651978
1278,10 01 2018 00:20,270.4773865,4.747572899,276.3222432,122.8183975
1279,10 01 2018 00:30,355.2250061,5.255426884,401.3176706,122.0468979
1280,10 01 2018 00:40,288.4397888,4.871133804,304.9611002,119.6437988
1281,10 01 2018 00:50,429.365387,5.436513901,450.9210359,126.4070969
1282,10 01 2018 01:00,281.8738098,4.714985847,268.9445202,137.2913055
1283,10 01 2018 01:10,260.0133972,4.946319103,322.9206654,138.5556946
1284,10 01 2018 01:20,194.195694,4.522221088,226.7180254,136.7290039
1285,10 01 2018 01:30,130.5039978,4.213234901,163.6425044,140.5498962
1286,10 01 2018 01:40,8.394179344,2.70459795,0,149.7917938
1287,10 01 2018 01:50,0,2.47755003,0,195.3244019
1288,10 01 2018 02:00,0,1.470070004,0,145.1029968
1289,10 01 2018 02:10,0,3.008768082,16.28672895,214.0254974
1290,10 01 2018 02:20,210.1694946,4.599510193,243.3649723,158.5960999
1291,10 01 2018 02:30,10.63984013,2.579374075,0,109.0011978
1292,10 01 2018 02:40,0,1.973911047,0,113.831398
1293,10 01 2018 02:50,0,2.772330046,0,139.381897
1294,10 01 2018 03:00,0,3.277472973,31.03843519,135.2064972
1295,10 01 2018 03:10,0,3.441303968,45.70166239,146.6634979
1296,10 01 2018 03:20,0,2.619735956,0,121.9536972
1297,10 01 2018 03:30,0,2.055049896,0,137.7456055
1298,10 01 2018 03:40,0,1.622059941,0,106.3775024
1299,10 01 2018 03:50,0,2.392349005,0,128.2503052
1300,10 01 2018 04:00,0,1.633476019,0,115.2589035
1301,10 01 2018 04:10,0,1.30629003,0,125.8730011
1302,10 01 2018 04:20,0,1.537354946,0,110.7517014
1303,10 01 2018 04:30,0,1.978963017,0,122.9148026
1304,10 01 2018 04:40,0,1.180513978,0,121.4372025
1305,10 01 2018 04:50,0,1.382282972,0,104.2394028
1306,10 01 2018 05:00,0,1.337169051,0,34.53086853
1307,10 01 2018 05:10,0,1.225813031,0,63.23910141
1308,10 01 2018 05:20,0,2.819976091,0,327.2670898
1309,10 01 2018 05:30,0,2.52601409,0,334.1046143
1310,10 01 2018 05:40,0,1.761003971,0,12.01848984
1311,10 01 2018 05:50,0,1.601286054,0,48.67216873
1312,10 01 2018 06:00,0,1.281996012,0,155.0233002
1313,10 01 2018 06:10,0,2.607383966,0,161.7308044
1314,10 01 2018 06:20,0,2.07774806,0,139.1277008
1315,10 01 2018 06:30,0,1.593368053,0,126.9441986
1316,10 01 2018 06:40,0,1.266352057,0,153.7075958
1317,10 01 2018 06:50,0,0.447999805,0,11.89334011
1318,10 01 2018 07:00,0,0.878756702,0,62.77664948
1319,10 01 2018 07:10,0,0.477733105,0,88.67508698
1320,10 01 2018 07:20,0,0.405237913,0,335.6617126
1321,10 01 2018 07:30,0,0.634839892,0,147.4441986
1322,10 01 2018 07:40,0,1.262616038,0,187.6696014
1323,10 01 2018 07:50,0,2.572881937,0,178.0899963
1324,10 01 2018 08:00,0,2.368648052,0,226.1987
1325,10 01 2018 08:10,0,1.738826036,0,172.7776031
1326,10 01 2018 08:20,0,1.493824005,0,195.3052979
1327,10 01 2018 08:30,0,2.194616079,0,196.8760986
1328,10 01 2018 08:40,0,1.156960964,0,151.8847961
1329,10 01 2018 08:50,0,1.071895003,0,166.2534027
1330,10 01 2018 09:00,0,1.243163943,0,145.7261963
1331,10 01 2018 09:10,0,0.7839095,0,145.2028046
1332,10 01 2018 09:20,0,1.031088948,0,98.84558868
1333,10 01 2018 09:30,0,1.63132596,0,153.5498047
1334,10 01 2018 09:40,0,1.083798051,0,190.5536957
1335,10 01 2018 09:50,0,1.875848055,0,117.7894974
1336,10 01 2018 10:00,0,1.524209976,0,114.1369019
1337,10 01 2018 10:10,0,1.340621948,0,126.2916031
1338,10 01 2018 10:20,0,0.852388978,0,147.1481934
1339,10 01 2018 10:30,0,2.054236889,0,165.9730072
1340,10 01 2018 10:40,0,2.467195034,0,178.2413025
1341,10 01 2018 10:50,0,1.805582047,0,160.0350952
1342,10 01 2018 11:00,0,1.796159029,0,139.4369965
1343,10 01 2018 11:10,0,2.150357008,0,115.5469971
1344,10 01 2018 11:20,0,2.298122883,0,92.78115082
1345,10 01 2018 11:30,0,2.62351203,0,59.86473846
1346,10 01 2018 11:40,0,1.43571198,0,74.26532745
1347,10 01 2018 11:50,0,1.020941019,0,79.481987
1348,10 01 2018 12:00,0,1.131065965,0,74.3585434
1349,10 01 2018 12:10,0,1.027892947,0,144.1950989
1350,10 01 2018 12:20,0,1.705418944,0,204.1190033
1351,10 01 2018 12:30,0,1.018921018,0,127.7742996
1352,10 01 2018 12:40,0,1.236291051,0,91.30721283
1353,10 01 2018 12:50,0,1.03647697,0,119.3964005
1354,10 01 2018 13:00,0,1.78085804,0,128.096405
1355,10 01 2018 13:10,0,2.32819891,0,135.9010925
1356,10 01 2018 13:20,0,1.756569982,0,120.2671967
1357,10 01 2018 13:30,0,1.92516005,0,170.5785065
1358,10 01 2018 13:40,0,3.439016104,45.46732647,127.0854034
1359,10 01 2018 13:50,0,3.033592939,17.16525291,102.4673004
1360,10 01 2018 14:00,0,3.528951883,55.30966786,103.2701035
1361,10 01 2018 14:10,189.759201,4.864656925,303.433166,123.2110977
1362,10 01 2018 14:20,178.2068024,4.282464981,177.3196481,137.5175018
1363,10 01 2018 14:30,31.8864994,2.988169909,0,151.4562988
1364,10 01 2018 14:40,0,1.798933029,0,172.6430054
1365,10 01 2018 14:50,0,1.840474963,0,228.8267059
1366,10 01 2018 15:00,0,2.212565899,0,251.930603
1367,10 01 2018 15:10,0,2.692303896,0,284.5064087
1368,10 01 2018 15:20,22.00214958,4.209413052,162.8946493,258.5285034
1369,10 01 2018 15:30,49.22541046,3.05190897,17.87665033,237.5792999
1370,10 01 2018 15:40,0,0.864522576,0,252.8995972
1371,10 01 2018 15:50,0,0.76860559,0,251.8542023
1372,10 01 2018 16:00,49.84772873,3.54001689,56.60999975,208.2617035
1373,10 01 2018 16:10,569.6486816,5.677199841,521.4486924,188.3688049
1374,10 01 2018 16:20,812.0880127,6.62667799,856.4404274,200.155304
1375,10 01 2018 16:30,1248.901978,7.881015778,1462.613321,211.1813049
1376,10 01 2018 16:40,1001.09198,7.373727798,1193.518554,207.6473999
1377,10 01 2018 16:50,870.8120728,6.938550949,988.5648066,214.1432953
1378,10 01 2018 17:00,1065.642944,7.43503809,1224.520579,210.6835022
1379,10 01 2018 17:10,999.538208,7.346372128,1179.864843,202.2606964
1380,10 01 2018 17:20,1090.782959,7.326743126,1170.134647,213.3815002
1381,10 01 2018 17:30,1114.883057,7.568226814,1293.290304,222.8262024
1382,10 01 2018 17:40,977.6099854,7.375741959,1194.528184,211.4967957
1383,10 01 2018 17:50,713.2998047,6.604113102,847.3215728,207.1757965
1384,10 01 2018 18:00,940.6273193,7.269858837,1142.248473,204.4916992
1385,10 01 2018 18:10,1214.921021,7.653754234,1338.39242,206.0189056
1386,10 01 2018 18:20,1114.912964,7.487399101,1251.445237,206.0948029
1387,10 01 2018 18:30,1027.079956,7.312902927,1163.307356,203.9541931
1388,10 01 2018 18:40,679.6071167,6.4169631,773.8909111,206.1159973
1389,10 01 2018 18:50,836.7719727,6.85627079,952.5780992,217.5762024
1390,10 01 2018 19:00,893.1500244,7.139407158,1079.999509,217.4367981
1391,10 01 2018 19:10,901.9882202,7.10580492,1064.338099,217.245697
1392,10 01 2018 19:20,1060.123047,7.443419933,1228.802605,224.360199
1393,10 01 2018 19:30,779.2860718,6.698926926,886.0291772,225.1351013
1394,10 01 2018 19:40,703.4691162,6.372520924,757.0215224,229.2877045
1395,10 01 2018 19:50,269.2567139,4.838714123,297.3431572,237.4907074
1396,10 01 2018 20:00,25.31525993,3.080082893,19.07571417,244.9073944
1397,10 01 2018 20:10,137.5820007,4.347185135,190.3355056,230.287796
1398,10 01 2018 20:20,102.8774033,4.075825214,137.2069776,253.0243073
1399,10 01 2018 20:30,0,2.508088112,0,282.7536011
1400,10 01 2018 20:40,0,3.587429047,62.40356028,241.9060059
1401,10 01 2018 20:50,34.64329147,2.948153019,0,241.1213074
1402,10 01 2018 21:00,9.358477592,3.334625959,35.66599332,228.9250946
1403,10 01 2018 21:10,-0.038066749,3.248697996,28.90639134,279.0401001
1404,10 01 2018 21:20,76.41145325,4.837356091,297.0256805,226.1600952
1405,10 01 2018 21:30,165.3368988,4.409307957,203.0460359,219.623703
1406,10 01 2018 21:40,6.219003201,2.59731698,0,233.1264954
1407,10 01 2018 21:50,0,1.803915977,0,234.5372009
1408,10 01 2018 22:00,0,3.205914021,25.98129537,236.2693024
1409,10 01 2018 22:10,178.4515076,4.499042034,221.7969585,228.7397003
1410,10 01 2018 22:20,343.1393127,5.286794186,409.7068248,226.5641937
1411,10 01 2018 22:30,435.1068115,5.784934998,554.8246509,223.4317932
1412,10 01 2018 22:40,406.9784851,5.553357124,484.4808014,235.3596039
1413,10 01 2018 22:50,448.7044983,5.73307991,538.6160934,229.6949005
1414,10 01 2018 23:00,800.6533203,6.945242882,991.5283739,222.7140961
1415,10 01 2018 23:10,655.5134888,6.200417042,693.7131984,233.0057983
1416,10 01 2018 23:20,1025.270996,7.247819901,1131.567291,232.7648926
1417,10 01 2018 23:30,1425.744995,7.917921066,1483.349584,231.4539032
1418,10 01 2018 23:40,1472.78894,8.098683357,1587.004881,229.9617004
1419,10 01 2018 23:50,909.2086792,6.775595188,918.0899935,232.7084961
1420,11 01 2018 00:00,968.4990845,6.971179962,1003.067649,227.3473053
1421,11 01 2018 00:10,1085.182007,7.34307909,1178.228577,229.7711029
1422,11 01 2018 00:20,1240.958008,7.609018803,1314.683946,228.6051941
1423,11 01 2018 00:30,1101.729004,7.301737785,1157.819641,228.8733978
1424,11 01 2018 00:40,874.7224731,6.964352131,1000.021808,229.792099
1425,11 01 2018 00:50,842.2092896,7.195750237,1106.599561,223.8283997
1426,11 01 2018 01:00,917.7385254,7.437849045,1225.955428,221.5803986
1427,11 01 2018 01:10,849.1314087,7.320701122,1167.150779,221.0438995
1428,11 01 2018 01:20,654.7645264,6.828896999,940.7885919,220.6609039
1429,11 01 2018 01:30,847.4359131,7.157936096,1088.699926,215.6087036
1430,11 01 2018 01:40,1219.274048,7.904695034,1475.900894,215.2097931
1431,11 01 2018 01:50,1043.302979,7.440392971,1227.254999,211.1994934
1432,11 01 2018 02:00,751.5518188,6.53924799,821.4289149,211.5435028
1433,11 01 2018 02:10,622.8776855,6.285941124,724.7738782,212.3737946
1434,11 01 2018 02:20,662.1469116,6.391759872,764.2977919,212.3955994
1435,11 01 2018 02:30,571.3944702,6.097199917,657.2706344,210.7232971
1436,11 01 2018 02:40,370.3487854,5.501985073,469.5711229,208.0027008
1437,11 01 2018 02:50,338.7138977,5.357986927,429.0597749,207.4002075
1438,11 01 2018 03:00,254.6609039,4.811359882,290.9734447,207.7709961
1439,11 01 2018 03:10,372.598114,5.34762001,426.2143445,211.4411011
1440,11 01 2018 03:20,504.1304016,5.978822231,617.8738887,211.5314941
